Clock_Variable,Cell_Variable,Beta,Lower_CI,Upper_CI
PCHorvath1_resids,Bas_resids,-0.054,-0.097,-0.011
PCHorvath1_resids,Bmem_resids,0.065,0.023,0.107
PCHorvath1_resids,Bnv_resids,-0.265,-0.306,-0.225
PCHorvath1_resids,CD4mem_resids,0.038,-0.005,0.08
PCHorvath1_resids,CD4nv_resids,-0.38,-0.419,-0.341
PCHorvath1_resids,CD8mem_resids,0.265,0.225,0.306
PCHorvath1_resids,CD8nv_resids,-0.262,-0.303,-0.221
PCHorvath1_resids,Eos_resids,0.083,0.041,0.126
PCHorvath1_resids,Mono_resids,-0.097,-0.139,-0.054
PCHorvath1_resids,NK_resids,0.134,0.092,0.176
PCHorvath1_resids,Treg_resids,-0.237,-0.278,-0.196
PCHorvath1_resids,Neu_resids,0.02,-0.022,0.063
PCPhenoAge_resids,Bas_resids,0.17,0.126,0.214
PCPhenoAge_resids,Bmem_resids,-0.122,-0.166,-0.078
PCPhenoAge_resids,Bnv_resids,-0.504,-0.542,-0.466
PCPhenoAge_resids,CD4mem_resids,-0.258,-0.301,-0.215
PCPhenoAge_resids,CD4nv_resids,-0.614,-0.648,-0.579
PCPhenoAge_resids,CD8mem_resids,-0.082,-0.126,-0.038
PCPhenoAge_resids,CD8nv_resids,-0.499,-0.537,-0.461
PCPhenoAge_resids,Eos_resids,0.04,-0.004,0.084
PCPhenoAge_resids,Mono_resids,0.075,0.031,0.12
PCPhenoAge_resids,NK_resids,-0.258,-0.301,-0.215
PCPhenoAge_resids,Treg_resids,-0.093,-0.137,-0.049
PCPhenoAge_resids,Neu_resids,0.52,0.482,0.558
PCGrimAge_resids,Bas_resids,0.167,0.122,0.211
PCGrimAge_resids,Bmem_resids,-0.18,-0.224,-0.136
PCGrimAge_resids,Bnv_resids,-0.319,-0.361,-0.276
PCGrimAge_resids,CD4mem_resids,-0.331,-0.373,-0.289
PCGrimAge_resids,CD4nv_resids,-0.436,-0.476,-0.396
PCGrimAge_resids,CD8mem_resids,-0.281,-0.323,-0.238
PCGrimAge_resids,CD8nv_resids,-0.282,-0.325,-0.24
PCGrimAge_resids,Eos_resids,-0.046,-0.09,-0.002
PCGrimAge_resids,Mono_resids,0.134,0.09,0.178
PCGrimAge_resids,NK_resids,-0.315,-0.357,-0.273
PCGrimAge_resids,Treg_resids,0.118,0.074,0.163
PCGrimAge_resids,Neu_resids,0.536,0.498,0.573
DunedinPACE_resids,Bas_resids,0.19,0.146,0.234
DunedinPACE_resids,Bmem_resids,-0.121,-0.165,-0.077
DunedinPACE_resids,Bnv_resids,-0.25,-0.293,-0.207
DunedinPACE_resids,CD4mem_resids,-0.287,-0.33,-0.245
DunedinPACE_resids,CD4nv_resids,-0.293,-0.335,-0.25
DunedinPACE_resids,CD8mem_resids,-0.217,-0.261,-0.174
DunedinPACE_resids,CD8nv_resids,-0.245,-0.288,-0.202
DunedinPACE_resids,Eos_resids,-0.294,-0.336,-0.251
DunedinPACE_resids,Mono_resids,0.222,0.179,0.266
DunedinPACE_resids,NK_resids,-0.389,-0.431,-0.348
DunedinPACE_resids,Treg_resids,0.079,0.035,0.124
DunedinPACE_resids,Neu_resids,0.557,0.52,0.594
